CensusTract,holc_grade
51700030500,C
51700030400,D
36005044800,C
36081055300,C
36081000400,C
36047043900,C
36047118400,C
36047040900,C
36081055500,C
36047118202,C
36081000200,C
36047118800,C
36047118600,C
36081000600,C
36081054900,C
36047043700,C
36081004200,C
34013004600,B
25027732202,C
34031182400,C
36081038400,C
36047064400,B
17031140602,C
36047074600,B
36081040300,D
17031838000,D
25025000701,C
17031252201,C
17031251100,C
36047058200,C
6037211410,C
17031260900,C
40109104000,D
25025100500,C
36081058500,C
36055008400,C
25025091900,C
26163517500,D
26163518900,D
34013010900,C
26163530500,C
26163531100,C
17031832100,C
36061028300,B
17031031200,C
17031813900,C
24510110200,D
36081013200,C
17031062100,C
36005036501,D
6073004000,D
17031250700,C
39035140702,B
17031812600,C
36055008200,C
36055007900,C
42101017601,D
6073004800,D
6037208501,D
25025091700,C
6037208402,D
25025090200,C
34031124323,A
6073004700,D
25025090100,C
36055007100,B
25025091800,C
25025081700,D
25025081500,D
25025081400,D
36081024700,C
55079006500,C
42101017800,D
25025081800,D
25025092300,C
6037219800,C
6075026403,D
25025110401,C
55079008000,D
53033008700,D
25025101102,C
6037210010,D
42101003200,D
55079006800,C
42101003100,D
55079006700,C
6037209820,D
6037209520,D
36081023800,C
25025100601,C
26065003601,C
25025100200,C
6037209104,C
26065003602,C
25025080500,D
6073004900,D
25025080601,D
6037205110,D
6075032802,B
6037201504,C
25025060700,D
36055005500,D
36081025301,C
42101018002,D
53033006800,B
42101002801,D
25025050600,D
25025050500,D
25025050200,D
6037221120,D
6075032902,B
25025040300,D
42101002701,D
36055005100,C
42101018800,D
25025010408,C
36055004900,C
25025010403,C
36081025700,C
6073003902,D
6037203200,D
25025060800,D
6075035300,B
6037203600,D
6075025402,D
25025080300,D
25025070900,D
6037204820,D
6037204810,D
6037204700,D
25025070800,D
6037204420,D
6037204410,D
6037204300,D
6037204200,D
55079006400,C
6037204120,D
42101002802,D
25025070600,D
25025070500,D
36081024900,C
6037203720,D
6037203710,D
25025110403,C
6037211201,C
6037218800,C
25025110502,C
36081018501,C
36081018502,C
36081018600,C
36081018800,C
36081015600,C
42101004101,D
42101009100,D
42101009400,D
36081015400,C
6075010800,D
42101003702,D
42101010200,D
25027731800,C
42101010300,D
42101010900,D
36081019600,D
36081019800,D
36081020200,D
25027730300,B
36081020600,D
42101013100,D
42101004102,D
36081018402,C
53033010300,C
36081016800,C
42101005600,D
53033011401,D
6073007701,B
6037216800,B
6037216700,B
6037216402,C
36081015802,C
36081016400,C
36081016600,C
53033011101,C
42101008102,C
42101007101,C
36081017400,C
36081017600,C
55079007100,D
53033011001,C
36081017800,C
42101007300,C
36081018000,C
36081018200,C
36081021400,C
42101013800,D
42101014400,D
26065002800,C
6037211910,C
6037211804,C
6037211803,C
25025140105,C
36081023000,C
6037211703,C
6075022803,D
36081014900,C
6075022901,D
6075022902,D
6037211921,C
36081023600,C
6037218500,C
6037218600,C
6037211420,C
6037218701,C
6037211320,C
6037211310,C
6037218702,C
6037211202,C
36005002500,D
6037211922,C
42101014500,D
6037212420,C
42101014800,D
36055009604,D
42101003701,D
42101014900,D
6037212701,B
6037212620,B
42101015101,D
42101015600,D
6037212501,C
42101015700,D
6075021200,C
6037218120,C
42101015800,D
36081015000,C
42101016000,D
42101016100,D
42101016200,D
42101016300,D
42101016400,D
6037212202,C
17031051100,C
6037197500,D
25025000704,C
36081037700,D
42101033600,B
36081037900,D
42101033800,B
42101034100,B
36005023900,C
36005024400,C
36081040000,C
36081040100,D
42101037900,D
36005024502,B
36081040500,D
36005025000,C
36081040700,D
36081040900,D
36081041100,D
36005025200,C
36081041300,D
36005025400,C
36081041400,D
36005025600,C
36081041500,D
36081042700,D
6037183620,C
36005023200,C
42101033500,B
25005652300,B
42101033400,B
36005020200,C
36005020400,C
42101031101,B
42101031200,B
42101031300,B
42101031401,B
36005020601,C
42101031402,B
42101031502,B
6037189201,C
36005021100,C
42101031600,B
36005021301,C
42003080600,C
36005021302,C
42101032100,C
36005021601,C
36005021700,C
36005021800,C
36005021900,C
36005022101,C
36081037100,C
42101033101,B
6037183610,C
36005026100,C
36005003900,D
24510270402,B
24510270401,B
55079013700,C
24510270302,B
24510270102,B
6037141303,B
44007001600,C
36005033202,C
24510240300,D
24510230200,D
36005033600,C
24510200702,C
6037134522,C
6037134521,C
36005033800,C
24510190100,D
36005034000,C
36005034200,C
24510180300,D
55079014700,D
24510180200,D
24510180100,D
36005034400,C
36005034500,B
36005031200,C
24510270502,B
25005651400,B
44007001000,C
36081043900,D
6037183300,C
6037183222,C
6037183220,C
36005026400,C
25005650800,B
36081044602,C
36005026601,C
36005026602,C
36081045000,C
36055002700,D
25005640600,B
36005027401,C
36081046000,C
36055002400,C
24510280500,D
36081046400,B
8101001800,B
36005028700,C
8101002500,B
55079013500,C
55079013600,C
36081046700,C
36005020000,C
36005019900,C
42101031000,B
36005006800,C
36005007000,C
36081028200,C
36005007300,D
36081028300,B
55079009300,B
36081028400,C
39095004200,C
36005007500,D
36005007600,C
36005007700,D
53033005000,B
36005007800,C
42101025200,C
42101025900,B
25017354800,C
36005008700,D
36005009200,C
42101026000,B
42101026100,B
42101026301,B
6037192620,C
42101026302,B
6037192520,C
36081027800,C
25021400300,C
36005018400,C
36005006400,C
36005004001,C
36005004100,D
25025000602,C
36005004400,C
25025000601,C
36005004800,C
6037197600,D
6037221304,C
36005005001,C
36005005002,C
36081025900,C
25025000202,C
36081026000,D
36081026200,D
39095005000,C
39035172101,C
42101021800,B
36081027100,C
6037195804,D
36005006200,C
6037195802,D
6037195720,D
6037195710,D
36005012500,D
36005012701,D
25017353500,D
36005012901,D
6037191110,C
42101028400,B
42101028500,B
36005016200,C
36005016400,C
42101028600,B
36005016600,C
42101028700,B
36005016900,D
6037190520,C
6037190510,C
6037190402,C
6037190401,C
6037189905,B
6037189904,B
6037189903,B
42101030700,B
42101030800,B
36005018101,C
42101030900,B
36005018301,B
55079011100,D
8031002703,C
42101028300,B
36005015900,D
36005015800,C
25017350300,C
25017352800,D
25017352700,D
36005013000,C
36005013100,D
55079009900,D
42101026700,B
36005013300,D
36005013500,D
25017350800,C
36005014400,C
25017341901,D
6037191204,C
36005014900,D
36005015100,D
36005015200,C
6037191620,C
39095003200,C
36081035100,C
6037191420,D
6037191410,D
36005015500,D
6037191301,D
6073003901,D
36081012800,C
42101002100,D
34013002500,C
34013003100,D
34013003500,D
34013003700,D
34013003800,D
6037533105,C
34013003900,D
6037533106,C
6037533201,C
6037533202,C
6037533203,C
6037533402,C
6037533403,C
6037533502,C
6037533503,C
6037533601,C
6037533702,C
42003561100,C
6037293307,D
6037293304,D
6037534700,B
42003562700,D
27053125800,C
6037535001,D
6037532604,C
34013002400,C
34013007300,D
27123035100,A
39035112400,D
39035101603,C
34013000700,C
36061027700,B
36061027900,B
36061029500,B
6037530500,D
6037530601,D
6037530801,D
6037530802,D
6037530901,D
6037530902,D
39035112600,D
6037531101,D
39035112800,D
6037531102,D
34013001700,C
6037531201,D
6037531502,D
6037531504,D
27123036300,A
27123035700,B
27123035500,C
34013007200,D
27053125700,C
6037576503,C
26163575100,C
6037553901,C
6037554002,C
6037554201,C
34013012500,C
6037554204,C
26163573800,C
26163573300,C
26163543600,D
36061004800,D
6037573004,C
6037573201,D
6037573300,D
6037269906,C
6037573401,D
26163542800,B
26163542500,B
26163542400,B
6037575101,D
34013017100,D
6037575102,D
6037575103,D
26163538600,A
36061004000,D
53063004602,C
6037272201,C
